customer_tweet_id,agent_tweet_id,customer_text,agent_reply,created_at
872,874,"Hi ! My flight from MAN--LHR--BWI for Nov. 3 was canceled. I was excited to try your Club 787 product. Only available flight is now to IAD which is a hassle, but rebooked anyway--my only option! Any availability in first class on BA293 for the troubles please?","We're so sorry to hear your flight was cancelled, Bryce. We're pleased you've been rebooked, however we're sorry for the hassle this has 1/2",Tue Oct 31 22:26:30 +0000 2017
868,873,"Sure, how much would an upgrade cost, out of curiosity?","Please can you DM us your booking reference, email address and contact number? We can then look into this for you. Thanks. ^Jane",Wed Nov 01 09:35:44 +0000 2017
877,879,"will you ever address my complaint/claim? Or, do you just ignore it until the 2 yrs are up?","We apologise for not responding sooner. We're now following you. Please follow us back and send your full name, booking reference, 1/2",Tue Oct 31 22:25:34 +0000 2017
881,882,"Booking ref MP79V2 and QMAS91 second one is my son's, have sent all info in being told I'm not entitled to anything?","Hi Martin. We'd need to set up a case for you if it hasn't already been made. We're following you. Please send DM with your full name, 1/2",Tue Oct 31 22:23:20 +0000 2017
884,885,Will you pay me my hotel and good bill for cancelling my flight home,"We're sorry to hear your flight was cancelled, Martin. We can certainly look into this for you. DM 1/2",Tue Oct 31 08:28:00 +0000 2017
966,965,can I just confirm the email that would send passport details to change a name on a ticket is __email__?,"Hi Sam, that is the correct email. ^Helen",Tue Oct 31 22:23:02 +0000 2017
969,967,"runway is under maintenance at Delhi from 7 nov. flights have been cancelled. Wanted to know status of BA0257, lhr-del 7nov","Hi Sreejit, we have no info about this as yet. Please keep an eye online as this will be updated as soon as we know. ^Helen",Tue Oct 31 22:20:23 +0000 2017
968,970,"https://t.co/NM3ZczuH2W here's the news article in case you guys need it. If you have any updates in the future, do share. Thanks.","Thanks Sreejit, we would recommend checking on Manage My Booking for any updates. ^Jane",Wed Nov 01 10:48:27 +0000 2017
974,971,"I made two bookings, but only received a confirmation email for one of the flights. Little help?","Hi David, confirmation emails can take up to 24 hrs. Have you been waiting longer than this? ^Helen",Tue Oct 31 22:18:21 +0000 2017
973,975,"Not yet, but I thought it was strange that I received a confirmation email for one of the flights, but not the other. Thanks.","Hi David, could you let us know the flights you've booked and dates of travel, along with your full name and contact number. Thanks. ^Sophie",Wed Nov 01 12:39:06 +0000 2017
976,978,Amsterdam to London on 28/11/17 London to Athens on 30/11/17 - have received confirmation for this Contact: +49 1708733216,"We'll check this for you, David. Can you provide us with the booking reference for the confirmation you have? Please send this via DM. ^R",Wed Nov 01 16:38:36 +0000 2017
1882,1883,"cancels #BA228 D. C. - LHR on 3 Nov, but refuses to give a free upgrade for inconvenience caused. Sad. #LuxuryTravel","We apologise for the inconvenience we've caused Ragnar. We wish we could offer upgrades for this. However, we're unable to. Please 1/2",Tue Oct 31 22:38:08 +0000 2017
1885,1887,"Find this terrifying. Hard to use self check out kiosks, grateful &amp; let me go human recently. https://t.co/q4QBp7fvk2",We know that it can be difficult Andrew. We here to support you and make check in feel as human as possible. Please don't hesitate to 1/2,Tue Oct 31 22:34:27 +0000 2017
1889,1888,"She's been trying to do that, that's the point! You should be contacting her as she can't get through to you via phone or email","Hi Stephen, follow and DM us more info along with your mum's contact details. ^Helen",Tue Oct 31 22:30:59 +0000 2017
1891,1892,Can you please contact __email__ and can give you further details please,Hi Stephen. For security please remove the email address from the public feed. We’re unable to contact passengers by email. 1/2,Tue Oct 31 07:43:22 +0000 2017
1894,1893,call centre has the worst customer serivce ever. keep you on hold for endless hours without an apology. Mum is not happy!,We're disappointed to hear this Stephen. Is there something you would like our assistance with? ^Kit,Mon Oct 30 21:46:58 +0000 2017
2975,2973,"you have charged me 32.19 for a phone call to book my flights which cost £3,700","Hi Maggie, we do advise our call charges online for when you need to contact us. ^Helen",Tue Oct 31 22:59:19 +0000 2017
2974,2977,Actually I asked and the customer advisor and he said that it was local rate and I may not incur any cost. I need to make people aware,"We're sorry you feel this way, Maggie. All charges are available to view on our website, prior to calling us. ^Lisa",Thu Nov 02 03:32:12 +0000 2017
2982,2983,Am trying to check in online for a flight to USA however it is saying in need an esta which I have and is valid till 2019,"Hi Barry, if you've ensured you've entered the correct passport number and have the correct documentation to travel, we would 1/2",Tue Oct 31 22:56:48 +0000 2017
3027,3025,"do u run the direct BA flights lgw - Lima / Lima - LGW all year round? Was looking for Dec 2017, couldn't see any. Thanks","Hi Diz, the Lima route is currently suspended for Winter 2017 from 29 Oct 2017 until 24 March 2018. ^Helen",Tue Oct 31 22:56:23 +0000 2017
3026,3029,Thanks. Do you know if you will be running it winter 2018? Specifically Dec 2018 - Jan 2019. Planning a hol and was hoping to use this route,"We can't confirm next winters plans at the moment, Diz. We always reviewing our schedules and we’ll update our 1/2",Wed Nov 01 10:54:21 +0000 2017
3030,3031,"Ok thanks for your reply.I will keep an eye on the website.My husband and I are planning for next year, hopefully you run the route. Thank u",We'll keep everything crossed for you! Happy holidays! ^Lisa,Thu Nov 02 00:08:43 +0000 2017
3033,3032,"I want to know your office locations in Lagos &amp; Abuja-Nigeria, and respective contact numbers for travel purpose.Thanks.","Hi, please contact our Lagos office on (+234) 70 94250 556 Monday to Friday Open 09:00-17:00 Saturday Open 10:00-14:00. ^Helen",Tue Oct 31 22:52:47 +0000 2017
3036,3034,I am a silver avios member flying from AMS to HYD in Premium Eco- is there a lounge in Schiphol Airport that I can use?,"Hi Prashanth, we have a lounge in Amsterdam called Lounge 40. ^Jane",Tue Oct 31 22:51:41 +0000 2017
3038,3037,"Disgraceful , flew Club Europe got crushed knees. Flew Tui - loads of room. Not wasting money with again","We don't like to hear this, Julian. Our seat pitch is comparable to other airlines. ^Helen",Tue Oct 31 22:47:36 +0000 2017
3976,3974,"i hope you can help me, becuse the way i am treated it's totally unacceptable.","We're concerned to hear this, Omar. Is there anything we can help you with? ^Jane",Tue Oct 31 23:14:27 +0000 2017
3975,3978,The staff in the counter issued the boarding pass for me and my wife but they didnt board us on the plane,"Hi Omar. Please can you DM more information? Please include your booking reference, your full name, email address and 1/2",Thu Nov 02 08:46:39 +0000 2017
3981,3979,booked us into when it’s closed wish I’d used #disappointed #noholiday,"We're so sorry to hear this, Tracey. Have you managed to speak to our BA Holidays team? ^Jane",Tue Oct 31 23:12:32 +0000 2017
3980,3982,We have but not satisfactorily. Can you DM me please,"Unfortunately we're unable to help you with BA Holidays bookings, Tracey. We're sorry to disappoint you. ^Jane",Wed Nov 01 09:54:23 +0000 2017
3983,3984,Can you tell me who can.,"You would need to speak with our Holidays team, Tracey. Sorry for any inconvenience. ^Lisa",Wed Nov 01 21:12:43 +0000 2017
3985,3986,I’ve spoken to 5 so far.All telling me different things.Nobody seems 2 be able 2 sort this.A holiday isn’t meant 2 cause this much stress.,"We're sorry we can't help, but their telephone number is 0344 493 0787 option 1 (calls are charged at local rate). They're open 07:30-20:00^",Thu Nov 02 23:47:18 +0000 2017
3988,3989,can you please provide me with your complaints procedure?,"Hi Ellen, we're available on Twitter if you would like to DM us? Alternatively, you can contact our Customer Relations team using the 1/2",Tue Oct 31 23:09:09 +0000 2017
3993,3992,Thank you for your personal call &amp; help today. I now have my receipt &amp; confirmed tickets.,"You're more than welcome, Cindy. If you need any further help please don't hesitate to come back to us.^Jo",Tue Oct 31 23:09:57 +0000 2017
3997,3998,British Air keeps losing the CIV # to charge my flights. Been going on since early October. Poor customer service.,"We're disappointed to hear this has taken this long Cindy. Unfortunately, the CVV drops out of the booking as a security feature if 1/2",Mon Oct 30 21:48:50 +0000 2017
